Matt Gardine, 2005

Attached is data which comes from the Geophysical Institute at the 
University of Alaska - Fairbanks.  It is from a flux-gate magnetometer 
stationed in Gakona, Alaska and was taken on March 26, 2005.  The 
starting time is 0:00 UTC, the sampling period is 1 minute, and the 
data set covers 24 hours (1440 samples).

Remote Station:  Gakona, AK -- Narod Flux Gate Magnetometer 
Degrees North Latitude and East Longitude 
Geographic  Latitude  : 62.39300 
Geographic  Longitude : 214.8700
Data for Day  85 of 2005, Mar 26 collected by GIMA - 
Geophysical Institute Magnetometer Array

Minute	H-Comp(nT)	D-Comp(nT)	Z-Comp(nT)

nx1=1440
dx1=60 s
fx1=0 s
f=
0	14014.85	-540.772	54278.24
1	14015.96	-540.255	54277.47
2	14016.55	-537.765	54276.95
3	14016.69	-540.563	54276.91
4	14016.50	-541.789	54276.87
5	14015.46	-544.042	54276.89
6	14014.61	-541.534	54277.42
7	14012.59	-544.181	54277.66
8	14014.89	-543.010	54277.48
9	14013.10	-543.831	54277.07
10	14011.59	-546.079	54277.12
11	14015.26	-542.899	54275.72
12	14012.79	-539.062	54275.61
13	14010.73	-541.609	54276.75
14	14013.28	-540.977	54276.69
15	14015.28	-539.878	54275.77
16	14015.83	-540.604	54275.78
17	14016.01	-540.052	54276.34
18	14015.06	-539.737	54277.10
19	14014.51	-540.724	54277.36
20	14014.85	-539.554	54276.71
21	14018.98	-537.172	54275.71
22	14024.20	-533.930	54274.97
23	14020.87	-535.426	54275.55
24	14018.69	-538.130	54276.43
25	14019.80	-534.889	54275.90
26	14021.09	-534.199	54275.56
27	14023.40	-535.954	54275.33
28	14024.94	-536.104	54275.01
29	14023.60	-535.263	54275.15
30	14022.77	-535.036	54275.75
31	14022.13	-537.189	54276.13
32	14021.97	-536.472	54276.06
33	14021.90	-534.268	54276.43
34	14023.62	-534.306	54276.65
35	14025.94	-533.952	54276.58
36	14025.50	-534.055	54276.59
37	14021.95	-537.119	54276.92
38	14022.11	-537.128	54276.97
39	14023.54	-535.688	54276.54
40	14027.05	-533.496	54276.25
41	14027.73	-530.230	54276.14
42	14026.11	-531.333	54277.03
43	14024.68	-533.515	54277.64
44	14023.23	-531.854	54277.59
45	14023.60	-530.612	54277.54
46	14026.57	-531.496	54277.25
47	14029.01	-532.980	54276.60
48	14029.72	-531.865	54276.16
49	14030.90	-530.954	54275.87
50	14029.57	-532.503	54275.88
51	14030.94	-532.795	54275.87
52	14031.62	-532.312	54275.53
53	14032.21	-532.688	54275.30
54	14033.63	-533.809	54275.04
55	14032.50	-534.719	54274.83
56	14031.79	-533.956	54274.86
57	14030.10	-534.009	54275.05
58	14030.52	-534.065	54275.41
59	14030.82	-532.656	54275.44
60	14031.88	-533.548	54275.51
61	14032.90	-534.984	54275.26
62	14033.66	-534.445	54274.85
63	14034.50	-532.577	54274.50
64	14032.58	-533.360	54274.68
65	14033.73	-535.352	54274.88
66	14033.54	-533.719	54274.38
67	14033.85	-533.796	54274.39
68	14037.96	-533.824	54273.66
69	14039.51	-532.622	54272.91
70	14039.02	-530.944	54272.97
71	14034.13	-532.270	54273.81
72	14031.00	-534.000	54274.64
73	14031.53	-533.388	54274.67
74	14033.23	-531.379	54274.24
75	14034.70	-533.783	54273.97
76	14035.74	-533.760	54273.52
77	14037.47	-533.089	54273.14
78	14036.67	-532.935	54272.71
79	14036.40	-532.992	54272.59
80	14035.42	-532.392	54272.49
81	14037.91	-531.640	54272.38
82	14036.70	-533.231	54271.83
83	14036.31	-535.308	54271.60
84	14037.29	-532.905	54271.00
85	14036.84	-532.068	54270.93
86	14036.24	-533.106	54271.10
87	14035.72	-533.459	54270.84
88	14035.82	-534.440	54270.72
89	14036.58	-534.417	54270.20
90	14035.28	-534.639	54269.98
91	14034.49	-535.213	54270.05
92	14036.99	-535.440	54269.50
93	14037.46	-534.460	54268.77
94	14036.86	-534.841	54268.74
95	14037.92	-533.187	54268.55
96	14036.95	-534.154	54268.62
97	14035.59	-535.091	54268.88
98	14035.81	-534.190	54268.93
99	14034.37	-533.863	54268.99
100	14032.71	-534.482	54269.27
101	14034.67	-534.589	54269.01
102	14036.35	-533.409	54268.34
103	14036.22	-534.084	54268.17
104	14035.97	-535.203	54267.98
105	14038.14	-533.384	54267.68
106	14036.23	-530.488	54267.19
107	14031.20	-531.853	54268.42
108	14035.83	-534.632	54268.82
109	14037.73	-537.018	54267.96
110	14037.40	-535.550	54267.37
111	14036.61	-534.807	54267.61
112	14035.47	-533.862	54268.07
113	14037.05	-534.623	54268.40
114	14037.06	-534.455	54268.42
115	14036.41	-534.730	54268.68
116	14036.35	-533.531	54269.01
117	14037.71	-532.900	54269.03
118	14037.95	-532.006	54269.25
119	14040.26	-531.829	54269.35
120	14040.25	-532.141	54269.39
121	14041.65	-533.504	54269.55
122	14040.33	-533.776	54269.49
123	14040.04	-535.274	54269.84
124	14039.73	-536.046	54269.88
125	14039.36	-535.445	54269.79
126	14038.22	-532.492	54269.93
127	14037.78	-532.030	54270.34
128	14034.78	-533.215	54270.88
129	14033.23	-532.485	54271.30
130	14035.11	-531.819	54271.47
131	14038.40	-530.629	54270.83
132	14035.63	-530.713	54270.62
133	14033.54	-531.054	54270.96
134	14035.66	-531.200	54270.68
135	14036.36	-529.307	54270.01
136	14035.22	-529.923	54270.09
137	14031.03	-530.384	54270.60
138	14031.47	-529.906	54270.79
139	14031.75	-529.832	54270.45
140	14033.52	-529.464	54270.13
141	14035.49	-529.552	54269.83
142	14036.29	-530.744	54269.74
143	14037.96	-529.615	54269.48
144	14032.55	-529.075	54269.80
145	14029.56	-532.200	54270.70
146	14035.56	-530.980	54269.81
147	14045.97	-531.795	54267.55
148	14056.73	-528.754	54265.23
149	14058.17	-522.336	54264.58
150	14036.88	-527.622	54268.06
151	14024.48	-535.471	54272.93
152	14041.40	-531.187	54271.58
153	14044.08	-531.576	54269.45
154	14043.07	-531.107	54269.20
155	14043.36	-532.217	54269.56
156	14038.95	-532.446	54269.94
157	14037.43	-533.299	54270.32
158	14041.62	-532.899	54269.83
159	14040.52	-532.637	54269.67
160	14034.48	-531.880	54270.24
161	14030.07	-535.097	54271.15
162	14037.43	-531.850	54269.93
163	14046.00	-531.153	54267.71
164	14049.36	-528.853	54266.73
165	14049.48	-528.832	54267.53
166	14030.10	-534.601	54269.48
167	14025.49	-531.549	54271.98
168	14036.04	-529.591	54271.25
169	14031.58	-529.892	54270.12
170	14039.17	-531.135	54270.63
171	14045.10	-531.565	54268.38
172	14040.40	-531.944	54267.72
173	14028.56	-529.929	54269.20
174	14027.70	-528.247	54271.17
175	14029.02	-528.620	54271.41
176	14028.71	-527.848	54270.60
177	14029.06	-530.474	54270.54
178	14030.05	-534.055	54269.70
179	14042.08	-536.322	54267.42
180	14055.44	-533.881	54263.92
181	14061.10	-529.386	54261.40
182	14057.16	-529.873	54261.97
183	14047.19	-530.878	54263.89
184	14033.16	-531.725	54268.39
185	14032.58	-531.610	54271.12
186	14039.64	-529.589	54270.76
187	14039.38	-529.820	54270.34
188	14031.31	-528.546	54270.26
189	14029.85	-529.836	54271.92
190	14060.20	-529.758	54268.83
191	14062.64	-528.724	54264.34
192	14038.79	-531.450	54268.14
193	14041.81	-530.421	54270.51
194	14051.97	-531.553	54269.84
195	14045.82	-532.818	54268.84
196	14042.08	-530.875	54270.11
197	14044.40	-530.711	54270.96
198	14044.27	-531.722	54271.05
199	14046.64	-533.122	54270.95
200	14047.02	-532.565	54269.94
201	14045.56	-533.382	54270.47
202	14049.06	-531.904	54270.31
203	14051.83	-530.203	54269.89
204	14047.53	-531.396	54270.85
205	14049.49	-533.509	54271.61
206	14057.20	-536.130	54270.49
207	14064.09	-535.114	54268.45
208	14061.82	-535.723	54268.73
209	14055.84	-525.805	54268.72
210	14052.39	-526.784	54273.04
211	14057.80	-528.641	54272.26
212	14055.42	-531.820	54273.33
213	14050.72	-528.573	54272.84
214	14041.38	-528.398	54276.75
215	14041.67	-531.419	54277.33
216	14045.83	-525.451	54276.70
217	14041.74	-528.672	54277.50
218	14041.60	-530.154	54276.64
219	14043.39	-526.838	54276.27
220	14042.82	-528.077	54276.38
221	14037.69	-528.577	54276.84
222	14035.10	-530.143	54277.63
223	14036.65	-527.971	54277.03
224	14034.03	-527.121	54277.35
225	14033.63	-527.414	54277.01
226	14037.99	-526.324	54275.91
227	14039.02	-526.517	54275.12
228	14040.02	-526.664	54274.71
229	14042.21	-525.891	54274.12
230	14044.53	-526.400	54273.87
231	14048.31	-525.169	54272.74
232	14048.86	-525.903	54272.96
233	14046.44	-529.767	54273.72
234	14045.89	-529.820	54274.13
235	14045.88	-526.833	54274.34
236	14047.17	-527.432	54275.26
237	14050.56	-533.224	54275.80
238	14054.48	-532.257	54274.86
239	14045.90	-537.992	54277.50
240	14046.24	-539.468	54279.48
241	14053.43	-537.597	54278.93
242	14051.54	-542.648	54280.08
243	14048.57	-542.815	54281.86
244	14044.47	-542.819	54284.34
245	14041.92	-544.227	54288.40
246	14040.20	-542.138	54291.45
247	14039.60	-543.118	54294.69
248	14037.88	-542.972	54296.37
249	14033.85	-536.899	54297.14
250	14035.54	-534.758	54298.38
251	14032.49	-535.223	54300.81
252	14028.23	-534.070	54303.95
253	14032.21	-531.586	54304.85
254	14031.71	-533.370	54305.66
255	14031.23	-529.650	54305.66
256	14030.77	-527.715	54306.74
257	14027.85	-528.870	54309.99
258	14032.12	-524.907	54309.62
259	14032.03	-524.109	54309.87
260	14030.79	-524.783	54310.33
261	14031.25	-522.448	54307.85
262	14030.18	-522.162	54306.29
263	14029.00	-521.847	54305.59
264	14029.10	-522.192	54303.25
265	14028.00	-521.404	54302.91
266	14024.50	-523.263	54303.78
267	14025.75	-520.707	54301.26
268	14030.08	-520.105	54299.20
269	14033.83	-520.911	54298.38
270	14036.15	-520.906	54297.14
271	14036.81	-521.076	54297.07
272	14037.40	-521.267	54297.74
273	14041.72	-520.627	54296.09
274	14042.55	-521.696	54295.05
275	14040.55	-521.707	54296.46
276	14040.90	-521.578	54295.37
277	14042.28	-520.762	54293.91
278	14042.34	-519.580	54293.99
279	14046.37	-518.513	54293.19
280	14049.37	-518.990	54291.40
281	14050.61	-519.236	54290.32
282	14052.96	-519.805	54289.88
283	14053.69	-521.310	54289.05
284	14050.92	-521.944	54289.79
285	14050.13	-520.902	54289.75
286	14053.46	-522.675	54289.91
287	14046.11	-522.322	54290.58
288	14050.18	-516.985	54289.91
289	14049.02	-520.793	54288.12
290	14044.32	-523.145	54290.47
291	14043.31	-520.405	54290.22
292	14052.64	-517.750	54288.07
293	14057.58	-521.299	54287.22
294	14055.18	-522.985	54288.09
295	14053.73	-521.335	54288.16
296	14055.84	-526.173	54288.01
297	14053.35	-526.336	54288.36
298	14054.55	-523.101	54289.60
299	14055.29	-521.694	54289.95
300	14052.01	-522.537	54290.75
301	14049.68	-521.986	54292.46
302	14054.50	-517.622	54292.17
303	14054.65	-519.294	54292.07
304	14051.29	-522.645	54293.25
305	14049.73	-523.183	54294.41
306	14050.92	-521.344	54294.82
307	14052.42	-522.565	54294.70
308	14049.59	-522.393	54296.31
309	14049.16	-518.269	54297.21
310	14049.15	-520.035	54297.50
311	14048.44	-518.734	54297.87
312	14048.84	-516.763	54298.03
313	14050.46	-513.485	54297.16
314	14051.33	-514.034	54296.26
315	14049.87	-516.229	54295.88
316	14046.78	-517.261	54296.39
317	14049.44	-515.615	54294.97
318	14048.23	-518.310	54295.24
319	14047.55	-516.846	54294.43
320	14047.86	-518.500	54293.79
321	14047.05	-517.063	54293.76
322	14046.84	-516.720	54293.48
323	14045.92	-520.034	54293.57
324	14045.46	-520.168	54293.77
325	14046.81	-518.525	54293.50
326	14047.28	-518.876	54293.37
327	14048.74	-518.328	54292.44
328	14048.69	-521.742	54292.18
329	14046.32	-521.948	54291.84
330	14044.72	-524.480	54292.05
331	14043.92	-524.049	54292.44
332	14043.29	-522.511	54292.23
333	14043.28	-523.567	54292.11
334	14041.96	-524.086	54292.13
335	14040.46	-523.449	54292.76
336	14044.91	-519.584	54294.32
337	14049.75	-516.693	54294.44
338	14047.58	-523.531	54293.99
339	14045.11	-529.237	54299.29
340	14041.73	-527.137	54300.43
341	14040.18	-529.423	54298.36
342	14046.16	-524.481	54300.20
343	14060.24	-509.145	54299.88
344	14060.67	-509.850	54295.09
345	14051.23	-520.073	54300.76
346	14040.74	-512.646	54305.51
347	14048.70	-513.343	54304.73
348	14054.63	-513.460	54302.88
349	14055.43	-514.234	54300.84
350	14056.29	-517.649	54300.26
351	14051.77	-518.345	54300.83
352	14053.27	-518.111	54302.76
353	14050.90	-518.563	54303.94
354	14052.18	-514.434	54306.08
355	14054.90	-514.924	54309.67
356	14054.11	-503.962	54311.70
357	14059.19	-503.109	54311.83
358	14062.32	-499.352	54312.01
359	14064.83	-498.719	54311.51
360	14070.94	-497.280	54312.90
361	14070.41	-496.613	54312.23
362	14074.39	-498.009	54311.85
363	14079.46	-498.298	54310.31
364	14082.92	-501.325	54308.84
365	14084.51	-502.168	54306.93
366	14090.19	-509.275	54302.97
367	14103.45	-512.003	54301.24
368	14091.51	-514.302	54297.74
369	14086.69	-510.324	54300.45
370	14084.30	-503.547	54300.71
371	14079.48	-501.756	54300.26
372	14076.03	-499.211	54299.26
373	14072.92	-498.690	54298.72
374	14067.26	-495.702	54301.46
375	14094.37	-484.118	54306.12
376	14115.84	-474.466	54307.98
