Dear Dr. Hale,
Sorry that it has taken me so long, but I have finally found some interesting 
data. This data comes from a weather balloon and it is accelerometer data. 
Cheers,
Hunter

time (s)	acceleration (m/s^2)

nx1=615
dx1=1 s
fx1=0 s
f=
1	0.034
2	0.1236
3	0.1236
4	0.146
5	0.146
6	0.146
7	0.034
8	0.146
9	0.1236
10	0.1236
11	0.146
12	0.1236
13	0.1236
14	0.1236
15	0.146
16	0.146
17	0.146
18	0.1684
19	0.1684
20	0.1684
21	0.1684
22	0.1684
23	0.146
24	0.1236
25	0.1236
26	0.1012
27	0.1236
28	0.1236
29	0.146
30	0.146
31	0.146
32	0.1012
33	0.1012
34	0.1012
35	0.1684
36	0.146
37	0.1684
38	0.1012
39	0.1012
40	0.1012
41	0.1012
42	0.146
43	0.146
44	0.146
45	0.1684
46	0.1684
47	0.1236
48	0.1684
49	0.1684
50	0.146
51	0.146
52	0.146
53	0.146
54	0.146
55	0.1236
56	0.1236
57	0.1236
58	0.1684
59	0.1684
60	0.146
61	0.146
62	0.146
63	0.1012
64	0.1684
65	0.146
66	0.146
67	0.146
68	0.146
69	0.146
70	0.1236
71	0.1236
72	0.1236
73	0.1236
74	0.1236
75	0.1236
76	0.1684
77	0.1236
78	0.146
79	0.146
80	0.146
81	0.146
82	0.1236
83	0.1236
84	0.146
85	0.146
86	0.1236
87	0.1236
88	0.1236
89	0.1236
90	0.1236
91	0.1236
92	0.1236
93	0.146
94	0.146
95	0.146
96	0.146
97	0.1684
98	0.146
99	0.146
100	0.1236
101	0.1236
102	0.1236
103	0.1236
104	0.1012
105	0.146
106	0.0788
107	0.1012
108	0.1012
109	0.1012
110	0.1012
111	0.1012
112	0.1012
113	0.1012
114	0.1012
115	0.146
116	0.146
117	0.1012
118	0.1012
119	0.1236
120	0.1236
121	0.1236
122	0.1012
123	0.146
124	0.1236
125	0.1236
126	0.1236
127	0.1236
128	0.1236
129	0.1236
130	0.146
131	0.1236
132	0.146
133	0.146
134	0.146
135	0.146
136	0.146
137	0.146
138	0.1236
139	0.1236
140	0.1236
141	0.1236
142	0.1236
143	0.1236
144	0.146
145	0.1236
146	0.1236
147	0.146
148	0.1236
149	0.1236
150	0.146
151	0.146
152	0.146
153	0.1012
154	0.1012
155	0.1012
156	0.1012
157	0.146
158	0.146
159	0.146
160	0.146
161	0.1236
162	0.1236
163	0.146
164	0.1236
165	0.1236
166	0.1236
167	0.1236
168	0.146
169	0.146
170	0.146
171	0.146
172	0.146
173	0.1236
174	0.1236
175	0.1684
176	0.1684
177	0.146
178	0.146
179	0.1236
180	0.1236
181	0.146
182	0.146
183	0.146
184	0.1012
185	0.1012
186	0.1012
187	0.146
188	0.146
189	0.1012
190	0.146
191	0.146
192	0.146
193	0.146
194	0.146
195	0.1236
196	0.1012
197	0.1012
198	0.1012
199	0.1236
200	0.1236
201	0.146
202	0.146
203	0.146
204	0.146
205	0.1012
206	0.1236
207	0.1236
208	0.146
209	0.146
210	0.1012
211	0.1012
212	0.1012
213	0.1012
214	0.1012
215	0.1012
216	0.1012
217	0.1012
218	0.1012
219	0.146
220	0.1012
221	0.146
222	0.1236
223	0.146
224	0.146
225	0.1236
226	0.1236
227	0.1236
228	0.146
229	0.1236
230	0.1236
231	0.1236
232	0.1236
233	0.1236
234	0.1236
235	0.1236
236	0.146
237	0.1236
238	0.1684
239	0.1012
240	0.146
241	0.146
242	0.1012
243	0.1236
244	0.1012
245	0.1236
246	0.146
247	0.146
248	0.1236
249	0.1236
250	0.1012
251	0.146
252	0.1012
253	0.1236
254	0.1236
255	0.146
256	0.146
257	0.146
258	0.1236
259	0.1236
260	0.146
261	0.146
262	0.146
263	0.146
264	0.146
265	0.146
266	0.1236
267	0.1012
268	0.1012
269	0.1012
270	0.146
271	0.1236
272	0.146
273	0.146
274	0.146
275	0.146
276	0.146
277	0.146
278	0.146
279	0.146
280	0.1236
281	0.1236
282	0.1684
283	0.1684
284	0.146
285	0.146
286	0.146
287	0.146
288	0.146
289	0.1236
290	0.1236
291	0.146
292	0.146
293	0.146
294	0.146
295	0.1236
296	0.1236
297	0.146
298	0.146
299	0.1236
300	0.1236
301	0.146
302	0.146
303	0.1684
304	0.1684
305	0.1684
306	0.1236
307	0.1236
308	0.1236
309	0.1012
310	0.1236
311	0.1236
312	0.1236
313	0.1236
314	0.1236
315	0.1684
316	0.146
317	0.1236
318	0.146
319	0.146
320	0.146
321	0.1236
322	0.1236
323	0.1236
324	0.1236
325	0.146
326	0.146
327	0.1012
328	0.1012
329	0.1012
330	0.146
331	0.146
332	0.146
333	0.146
334	0.146
335	0.146
336	0.1236
337	0.1236
338	0.1684
339	0.1684
340	0.1684
341	0.1236
342	0.1012
343	0.1012
344	0.1012
345	0.1012
346	0.1012
347	0.1236
348	0.1236
349	0.146
350	0.1012
351	0.1684
352	0.1684
353	0.1012
354	0.1012
355	0.1012
356	0.146
357	0.146
358	0.146
359	0.146
360	0.146
361	0.146
362	0.146
363	0.146
364	0.146
365	0.1236
366	0.1236
367	0.1236
368	0.1236
369	0.146
370	0.1684
371	0.1236
372	0.1236
373	0.1684
374	0.1684
375	0.146
376	0.146
377	0.146
378	0.146
379	0.146
380	0.1236
381	0.1236
382	0.1236
383	0.1236
384	0.1236
385	0.1236
386	0.1236
387	0.1684
388	0.1684
389	0.1684
390	0.1684
391	0.146
392	0.1684
393	0.1684
394	0.146
395	0.146
396	0.146
397	0.1236
398	0.146
399	0.146
400	0.146
401	0.146
402	0.1236
403	0.1236
404	0.1236
405	0.1236
406	0.1236
407	0.146
408	0.1012
409	0.1012
410	0.146
411	0.1684
412	0.1684
413	0.1684
414	0.1684
415	0.1684
416	0.1236
417	0.146
418	0.146
419	0.146
420	0.1684
421	0.1684
422	0.1236
423	0.1236
424	0.146
425	0.1236
426	0.1684
427	0.1684
428	0.1684
429	0.1684
430	0.1684
431	0.1684
432	0.146
433	0.146
434	0.1684
435	0.1236
436	0.1236
437	0.146
438	0.1236
439	0.146
440	0.146
441	0.146
442	0.1684
443	0.1684
444	0.146
445	0.146
446	0.146
447	0.146
448	0.146
449	0.146
450	0.146
451	0.146
452	0.1236
453	0.1236
454	0.146
455	0.146
456	0.146
457	0.146
458	0.1236
459	0.146
460	0.146
461	0.146
462	0.146
463	0.1684
464	0.146
465	0.146
466	0.146
467	0.1012
468	0.1236
469	0.146
470	0.1236
471	0.1236
472	0.1236
473	0.1236
474	0.1236
475	0.146
476	0.1684
477	0.1684
478	0.1236
479	0.146
480	0.146
481	0.1236
482	0.1236
483	0.1684
484	0.146
485	0.146
486	0.146
487	0.146
488	0.1236
489	0.1236
490	0.146
491	0.1012
492	0.1012
493	0.1236
494	0.1236
495	0.146
496	0.146
497	0.1236
498	0.1236
499	0.1236
500	0.146
501	0.146
502	0.1236
503	0.1236
504	0.1236
505	0.1236
506	0.1236
507	0.1236
508	0.1684
509	0.146
510	0.146
511	0.146
512	0.146
513	0.146
514	0.1236
515	0.146
516	0.146
517	0.1236
518	0.1236
519	0.1236
520	0.1236
521	0.1236
522	0.1236
523	0.146
524	0.146
525	0.1684
526	0.146
527	0.146
528	0.146
529	0.146
530	0.1236
531	0.1684
532	0.146
533	0.1236
534	0.1236
535	0.1236
536	0.146
537	0.146
538	0.146
539	0.146
540	0.1012
541	0.1012
542	0.1236
543	0.1236
544	0.1236
545	0.1236
546	0.1236
547	0.1236
548	0.1236
549	0.1236
550	0.1684
551	0.1684
552	0.1684
553	0.146
554	0.146
555	0.146
556	0.1236
557	0.146
558	0.146
559	0.1236
560	0.1236
561	0.1236
562	0.1236
563	0.1236
564	0.1236
565	0.146
566	0.146
567	0.146
568	0.1236
569	0.1236
570	0.146
571	0.146
572	0.1236
573	0.1684
574	0.146
575	0.146
576	0.146
577	0.1236
578	0.1684
579	0.1236
580	0.1236
581	0.146
582	0.1236
583	0.1236
584	0.1236
585	0.146
586	0.146
587	0.1236
588	0.1236
589	0.1236
590	0.1684
591	0.1684
592	0.1684
593	0.1684
594	0.1684
595	0.1236
596	0.1236
597	0.1012
598	0.146
599	0.146
600	0.146
601	0.146
602	0.1684
603	0.146
604	0.146
605	0.146
606	0.1236
607	0.1236
608	0.1012
609	0.1012
610	0.146
611	0.1684
612	0.1684
613	0.1236
614	0.1236
615	0.146
